fs,D0,N0,D1,N1,D2,N2,R
-29.425781250000004,(-0.5467183589935303-0.07969723641872406j),(0.013544026762247086-4.1129300370812416e-05j),(-0.5475872159004211-0.0793299525976181j),(0.01007344014942646+0.0010517227929085493j),(-0.5474056005477905-0.07924620062112808j),(0.0048249163664877415+0.0004888638504780829j),(0.9900398850440979+0.00018867752805817872j)
-29.416992187499993,(-0.5473353266716003-0.165148064494133j),(0.013546712696552277-3.800480772042647e-05j),(-0.5482267141342163-0.1646697223186493j),(0.010074456222355366+0.0010532134911045432j),(-0.5480249524116516-0.16456550359725952j),(0.0048261708579957485+0.0004885955131612718j),(0.9899313449859619+0.00018661280046217144j)
-29.408203125,(-0.544486403465271-0.24967291951179504j),(0.01354921329766512-3.487616777420044e-05j),(-0.5453997254371643-0.24908559024333954j),(0.010075320489704609+0.0010547005804255605j),(-0.5451816320419312-0.2489631623029709j),(0.004827371798455715+0.0004883282817900181j),(0.9898240566253662+0.00018532629474066198j)
-29.3994140625,(-0.5381565690040588-0.3327210247516632j),(0.013551528565585613-3.174346420564689e-05j),(-0.5390918850898743-0.33202725648880005j),(0.01007603295147419+0.0010561879025772214j),(-0.5388615727424622-0.3318881094455719j),(0.004828519653528929+0.00048806064296513796j),(0.9897178411483765+0.00018462252046447247j)
-29.390624999999996,(-0.5283541083335876-0.4137497544288635j),(0.01355365663766861-2.860398672055453e-05j),(-0.5293106436729431-0.4129532277584076j),(0.010076592676341534+0.001057674759067595j),(-0.5290720462799072-0.4128001630306244j),(0.004829614423215389+0.0004877933533862233j),(0.9896130561828613+0.00018469816131982952j)
-29.381835937500004,(-0.5151082873344421-0.4922296404838562j),(0.013555596582591534-2.5460745746386237e-05j),(-0.5160858631134033-0.4913344383239746j),(0.010076998732984066+0.0010591598693281412j),(-0.5158435702323914-0.49117016792297363j),(0.004830656107515097+0.00048752655857242644j),(0.9895095229148865+0.0001853069697972387j)
-29.373046875000007,(-0.49847227334976196-0.567647397518158j),(0.01355734933167696-2.2310889107757248e-05j),(-0.49946966767311096-0.5666588544845581j),(0.010077254846692085+0.001060645212419331j),(-0.49922803044319153-0.5664861798286438j),(0.0048316423781216145+0.000487260491354391j),(0.9894073009490967+0.0001867229730123654j)
-29.3642578125,(-0.4785199761390686-0.6395091414451599j),(0.013558915816247463-1.9158094801241532e-05j),(-0.4795367419719696-0.6384325623512268j),(0.010077355429530144+0.00106212985701859j),(-0.47930023074150085-0.6382544636726379j),(0.004832575563341379+0.0004869946569669992j),(0.9893063902854919+0.00018868016195483506j)
-29.35546874999999,(-0.4553482234477997-0.7073430418968201j),(0.013560295104980469-1.5999261449906044e-05j),(-0.4563828706741333-0.7061849236488342j),(0.010077306069433689+0.001063613686710596j),(-0.4561564326286316-0.7060048580169678j),(0.0048334551975131035+0.00048672923003323376j),(0.9892069101333618+0.000191358762094751j)
-29.346679687500007,(-0.42907410860061646-0.7707036137580872j),(0.013561486266553402-1.283649544348009e-05j),(-0.4301263093948364-0.7694708704948425j),(0.010077103041112423+0.0010650965850800276j),(-0.42991429567337036-0.769292414188385j),(0.0048342798836529255+0.0004864647053182125j),(0.9891089797019958+0.0001946373376995325j)
-29.337890625,(-0.3998369574546814-0.8291739821434021j),(0.013562491163611412-9.668507118476555e-06j),(-0.4009052813053131-0.8278741836547852j),(0.010076746344566345+0.0010665799491107464j),(-0.4007124900817871-0.8277005553245544j),(0.004835051484405994+0.00048619956942275167j),(0.9890124201774597+0.000198704787180759j)
-29.329101562499996,(-0.3677949905395508-0.8823681473731995j),(0.01356330793350935-6.4969531194947194e-06j),(-0.368878573179245-0.8810089230537415j),(0.010076237842440605+0.0010680606355890632j),(-0.3687094748020172-0.8808444738388062j),(0.00483576999977231+0.0004859355103690177j),(0.988917350769043+0.00020320742623880506j)
-29.3203125,(-0.33312663435935974-0.9299342632293701j),(0.013563938438892365-3.3200797133758897e-06j),(-0.33422431349754333-0.9285245537757874j),(0.010075578466057777+0.0010695405071601272j),(-0.3340834975242615-0.9283728003501892j),(0.004836433567106724+0.00048567255726084113j),(0.9888240098953247+0.00020844592654611915j)
-29.311523437500004,(-0.2960284352302551-0.9715569019317627j),(0.013564380817115307-1.3797451003938477e-07j),(-0.29713866114616394-0.9701052904129028j),(0.010074763558804989+0.001071021193638444j),(-0.29703059792518616-0.9699699282646179j),(0.004837044049054384+0.00048540843999944627j),(0.9887319803237915+0.00021431052300613374j)
-29.302734374999996,(-0.2567136585712433-1.0069583654403687j),(0.013564635999500751+3.04816694551846e-06j),(-0.2578356862068176-1.0054737329483032j),(0.010073795914649963+0.001072500366717577j),(-0.2577643394470215-1.005359411239624j),(0.004837600514292717+0.0004851469420827925j),(0.9886418581008911+0.0002208715013694018j)
-29.2939453125,(-0.21541212499141693-1.0359011888504028j),(0.0135647002607584+6.237951311049983e-06j),(-0.21654443442821503-1.0343931913375854j),(0.010072674602270126+0.0010739783756434917j),(-0.2165142148733139-1.0343037843704224j),(0.004838102962821722+0.0004848848038818687j),(0.9885529279708862+0.00022791548690292984j)
-29.285156250000007,(-0.17236833274364471-1.0581895112991333j),(0.01356458105146885+9.43333452596562e-06j),(-0.1735096275806427-1.0566681623458862j),(0.010071402415633202+0.0010754555696621537j),(-0.17352409660816193-1.0566073656082153j),(0.004838551394641399+0.0004846234805881977j),(0.9884659647941589+0.00023561128182336688j)
-29.276367187500004,(-0.12783975899219513-1.073670744895935j),(0.013564269989728928+1.2633508049475495e-05j),(-0.1289883255958557-1.0721455812454224j),(0.010069974698126316+0.0010769320651888847j),(-0.12905143201351166-1.0721174478530884j),(0.004838946741074324+0.0004843628848902881j),(0.9883805513381958+0.00024389316968154162j)
-29.267578124999993,(-0.08209526538848877-1.082235336303711j),(0.013563773594796658+1.5838188119232655e-05j),(-0.08325031399726868-1.080716609954834j),(0.010068397037684917+0.0010784082114696503j),(-0.08336499333381653-1.0807254314422607j),(0.004839286208152771+0.00048410292947664857j),(0.9882968664169312+0.00025276673841290176j)
